theme_code,theme_label,reasoning,raw_response,error,respondent_id,A1_zone,vendor_food,C3_safe_harbour_aware,B1b_registered_binary,F1_text
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0161,3,0,0,0,Mujhe pata nahi tha ke kaise register karein
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0162,3,1,0,0,Internet sahi nahi hota yahan
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0163,1,0,0,0,Mujhe pata nahi tha ke kaise register karein
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0164,3,1,0,0,Fees zyada hain wallets ki
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0165,1,1,0,1,Hamari dukan chhoti hai digital ki zaroorat nahi
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0166,2,0,0,0,Paisa account mein aata hai toh KPRA dekh leta hai
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0167,2,0,0,0,Paisa account mein aata hai toh KPRA dekh leta hai
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0168,2,1,0,1,Internet sahi nahi hota yahan
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0169,3,0,0,0,Fees zyada hain wallets ki
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0170,3,0,0,0,Hamari dukan chhoti hai digital ki zaroorat nahi
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0171,1,1,0,0,Registration ka tareeqa bohat mushkil lagta hai
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0172,2,0,0,0,Sab log cash mein karte hain toh main kyun badulon?
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0173,2,1,0,0,Fees zyada hain wallets ki
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0174,3,0,0,0,Hamari dukan chhoti hai digital ki zaroorat nahi
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0175,3,0,0,0,Internet sahi nahi hota yahan
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0176,2,0,0,0,Internet sahi nahi hota yahan
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0177,1,0,0,0,Jab safe harbour ka pata chala to main ne register kar liya
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0178,1,1,0,0,Hamari dukan chhoti hai digital ki zaroorat nahi
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0179,2,0,0,1,Mujhe pata nahi tha ke kaise register karein
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0180,2,0,0,0,Mere grahak cash hi dete hain
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0181,3,0,0,0,Paisa account mein aata hai toh KPRA dekh leta hai
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0182,1,0,0,0,Fees zyada hain wallets ki
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0183,2,0,1,0,Fees zyada hain wallets ki
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0184,3,0,0,1,Mere grahak cash hi dete hain
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0185,3,0,1,0,Sab log cash mein karte hain toh main kyun badulon?
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0186,3,0,0,0,Darr hai ke FBR aa jaye ga
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0187,1,0,0,0,Paisa account mein aata hai toh KPRA dekh leta hai
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0188,2,0,1,1,Registration ka tareeqa bohat mushkil lagta hai
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0189,3,0,1,0,Fees zyada hain wallets ki
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0190,2,1,0,0,Sab log cash mein karte hain toh main kyun badulon?
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0191,3,0,0,0,Mere grahak cash hi dete hain
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0192,2,1,1,0,Internet sahi nahi hota yahan
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0193,2,0,0,0,Mujhe pata nahi tha ke kaise register karein
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0194,1,0,0,1,Sab log cash mein karte hain toh main kyun badulon?
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0195,2,1,0,0,Fees zyada hain wallets ki
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0196,1,1,0,0,Jab safe harbour ka pata chala to main ne register kar liya
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0197,3,0,1,0,Mujhe pata nahi tha ke kaise register karein
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0198,1,0,0,0,Registration ka tareeqa bohat mushkil lagta hai
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0199,1,0,1,1,Jab safe harbour ka pata chala to main ne register kar liya
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0200,2,0,0,0,Paisa account mein aata hai toh KPRA dekh leta hai
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0201,3,0,0,0,Mujhe pata nahi tha ke kaise register karein
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0202,3,1,0,0,Darr hai ke FBR aa jaye ga
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0203,1,0,1,0,Fees zyada hain wallets ki
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0204,2,0,0,0,Registration ka tareeqa bohat mushkil lagta hai
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0205,2,0,0,0,Mere grahak cash hi dete hain
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0206,2,1,0,0,Darr hai ke FBR aa jaye ga
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0207,3,0,0,0,Fees zyada hain wallets ki
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0208,1,0,0,0,Mujhe pata nahi tha ke kaise register karein
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0209,1,0,1,0,Darr hai ke FBR aa jaye ga
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0210,2,0,0,0,Jab safe harbour ka pata chala to main ne register kar liya
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0211,1,0,1,0,Registration ka tareeqa bohat mushkil lagta hai
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0212,3,0,0,1,Mujhe pata nahi tha ke kaise register karein
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0213,2,0,0,0,Jab safe harbour ka pata chala to main ne register kar liya
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0214,2,0,0,0,Mere grahak cash hi dete hain
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0215,3,1,0,0,Sab log cash mein karte hain toh main kyun badulon?
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0216,3,0,1,0,Internet sahi nahi hota yahan
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0217,1,0,0,1,Paisa account mein aata hai toh KPRA dekh leta hai
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0218,1,0,0,0,Hamari dukan chhoti hai digital ki zaroorat nahi
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0219,1,0,0,1,Internet sahi nahi hota yahan
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0220,2,0,0,0,Darr hai ke FBR aa jaye ga
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0221,2,1,1,0,Internet sahi nahi hota yahan
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0222,3,0,1,1,Registration ka tareeqa bohat mushkil lagta hai
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0223,2,0,1,0,Paisa account mein aata hai toh KPRA dekh leta hai
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0224,1,0,0,1,Mere grahak cash hi dete hain
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0225,2,0,0,0,Jab safe harbour ka pata chala to main ne register kar liya
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0226,1,1,1,1,Paisa account mein aata hai toh KPRA dekh leta hai
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0227,2,1,0,0,Darr hai ke FBR aa jaye ga
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0228,2,0,0,0,Darr hai ke FBR aa jaye ga
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0229,3,1,0,0,Jab safe harbour ka pata chala to main ne register kar liya
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0230,3,0,0,0,Mujhe pata nahi tha ke kaise register karein
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0231,3,1,0,0,Hamari dukan chhoti hai digital ki zaroorat nahi
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0232,3,1,0,0,Mujhe pata nahi tha ke kaise register karein
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0233,1,0,0,0,Jab safe harbour ka pata chala to main ne register kar liya
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0234,2,0,1,0,Fees zyada hain wallets ki
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0235,3,0,0,0,Sab log cash mein karte hain toh main kyun badulon?
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0236,2,1,0,0,Paisa account mein aata hai toh KPRA dekh leta hai
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0237,3,1,1,0,Registration ka tareeqa bohat mushkil lagta hai
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0238,1,0,0,0,Mere grahak cash hi dete hain
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0239,3,1,0,0,Sab log cash mein karte hain toh main kyun badulon?
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0240,1,0,0,0,Darr hai ke FBR aa jaye ga
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0241,1,1,1,0,Fees zyada hain wallets ki
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0242,3,1,0,0,Sab log cash mein karte hain toh main kyun badulon?
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0243,3,0,0,0,Hamari dukan chhoti hai digital ki zaroorat nahi
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0244,1,0,1,1,Mere grahak cash hi dete hain
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0245,3,1,0,0,Hamari dukan chhoti hai digital ki zaroorat nahi
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0246,1,0,1,0,Mujhe pata nahi tha ke kaise register karein
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0247,3,0,0,0,Internet sahi nahi hota yahan
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0248,1,0,0,0,Mere grahak cash hi dete hain
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0249,1,1,0,1,Sab log cash mein karte hain toh main kyun badulon?
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0250,3,0,0,0,Sab log cash mein karte hain toh main kyun badulon?
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0251,2,0,0,0,Fees zyada hain wallets ki
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0252,2,1,0,0,Paisa account mein aata hai toh KPRA dekh leta hai
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0253,2,0,0,0,Jab safe harbour ka pata chala to main ne register kar liya
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0254,2,0,0,0,Mujhe pata nahi tha ke kaise register karein
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0255,1,0,0,0,Hamari dukan chhoti hai digital ki zaroorat nahi
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0256,2,1,0,0,Jab safe harbour ka pata chala to main ne register kar liya
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0257,1,0,0,0,Sab log cash mein karte hain toh main kyun badulon?
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0258,3,1,0,0,Jab safe harbour ka pata chala to main ne register kar liya
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0259,1,0,0,0,Darr hai ke FBR aa jaye ga
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0260,3,0,0,0,Darr hai ke FBR aa jaye ga
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0261,1,0,0,0,Fees zyada hain wallets ki
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0262,2,1,0,1,Mujhe pata nahi tha ke kaise register karein
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0263,2,0,1,0,Paisa account mein aata hai toh KPRA dekh leta hai
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0264,3,0,0,0,Jab safe harbour ka pata chala to main ne register kar liya
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0265,1,0,0,0,Mere grahak cash hi dete hain
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0266,2,0,0,0,Jab safe harbour ka pata chala to main ne register kar liya
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0267,3,1,0,0,Paisa account mein aata hai toh KPRA dekh leta hai
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0268,1,1,0,0,Internet sahi nahi hota yahan
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0269,1,0,0,0,Fees zyada hain wallets ki
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0270,1,0,1,1,Mere grahak cash hi dete hain
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0271,3,0,0,0,Registration ka tareeqa bohat mushkil lagta hai
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0272,1,0,1,1,Mujhe pata nahi tha ke kaise register karein
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0273,2,1,0,0,Mujhe pata nahi tha ke kaise register karein
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0274,2,0,1,1,Sab log cash mein karte hain toh main kyun badulon?
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0275,2,0,0,0,Sab log cash mein karte hain toh main kyun badulon?
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0276,1,0,0,0,Mujhe pata nahi tha ke kaise register karein
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0277,3,0,1,0,Jab safe harbour ka pata chala to main ne register kar liya
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0278,3,1,0,0,Jab safe harbour ka pata chala to main ne register kar liya
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0279,1,1,1,0,Mere grahak cash hi dete hain
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0280,2,0,0,0,Paisa account mein aata hai toh KPRA dekh leta hai
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0281,1,1,1,1,Jab safe harbour ka pata chala to main ne register kar liya
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0282,1,1,1,0,Fees zyada hain wallets ki
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0283,3,1,1,0,Darr hai ke FBR aa jaye ga
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0284,3,1,0,0,Sab log cash mein karte hain toh main kyun badulon?
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0285,1,0,0,1,Hamari dukan chhoti hai digital ki zaroorat nahi
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0286,3,0,1,1,Mujhe pata nahi tha ke kaise register karein
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0287,2,0,0,1,Darr hai ke FBR aa jaye ga
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0288,1,0,0,0,Hamari dukan chhoti hai digital ki zaroorat nahi
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0289,3,0,0,1,Fees zyada hain wallets ki
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0290,3,0,1,0,Registration ka tareeqa bohat mushkil lagta hai
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0291,3,0,0,0,Mujhe pata nahi tha ke kaise register karein
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0292,2,0,1,0,Mujhe pata nahi tha ke kaise register karein
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0293,1,0,1,0,Paisa account mein aata hai toh KPRA dekh leta hai
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0294,2,0,0,0,Mujhe pata nahi tha ke kaise register karein
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0295,1,0,1,0,Internet sahi nahi hota yahan
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0296,1,0,0,0,Mujhe pata nahi tha ke kaise register karein
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0297,2,0,0,0,Mujhe pata nahi tha ke kaise register karein
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0298,2,1,0,0,Jab safe harbour ka pata chala to main ne register kar liya
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0299,3,0,0,0,Mujhe pata nahi tha ke kaise register karein
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0300,3,0,0,0,Paisa account mein aata hai toh KPRA dekh leta hai
