respondent_id,F1_text,theme_code,theme_label,reasoning,error
KHT-0180,Mere grahak cash hi dete hain,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0181,Paisa account mein aata hai toh KPRA dekh leta hai,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0182,Fees zyada hain wallets ki,COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0183,Fees zyada hain wallets ki,COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0184,Mere grahak cash hi dete hain,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0185,Sab log cash mein karte hain toh main kyun badulon?,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0186,Darr hai ke FBR aa jaye ga,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0187,Paisa account mein aata hai toh KPRA dekh leta hai,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0188,Registration ka tareeqa bohat mushkil lagta hai,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0189,Fees zyada hain wallets ki,COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0190,Sab log cash mein karte hain toh main kyun badulon?,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0191,Mere grahak cash hi dete hain,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0192,Internet sahi nahi hota yahan,INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0193,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0194,Sab log cash mein karte hain toh main kyun badulon?,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0195,Fees zyada hain wallets ki,COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0196,Jab safe harbour ka pata chala to main ne register kar liya,POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0197,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0198,Registration ka tareeqa bohat mushkil lagta hai,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0199,Jab safe harbour ka pata chala to main ne register kar liya,POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0200,Paisa account mein aata hai toh KPRA dekh leta hai,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0201,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0202,Darr hai ke FBR aa jaye ga,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0203,Fees zyada hain wallets ki,COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0204,Registration ka tareeqa bohat mushkil lagta hai,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0205,Mere grahak cash hi dete hain,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0206,Darr hai ke FBR aa jaye ga,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0207,Fees zyada hain wallets ki,COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0208,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0209,Darr hai ke FBR aa jaye ga,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0210,Jab safe harbour ka pata chala to main ne register kar liya,POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0211,Registration ka tareeqa bohat mushkil lagta hai,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0212,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0213,Jab safe harbour ka pata chala to main ne register kar liya,POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0214,Mere grahak cash hi dete hain,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0215,Sab log cash mein karte hain toh main kyun badulon?,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0216,Internet sahi nahi hota yahan,INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0217,Paisa account mein aata hai toh KPRA dekh leta hai,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0218,Hamari dukan chhoti hai digital ki zaroorat nahi,SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0219,Internet sahi nahi hota yahan,INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0220,Darr hai ke FBR aa jaye ga,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0221,Internet sahi nahi hota yahan,INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0222,Registration ka tareeqa bohat mushkil lagta hai,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0223,Paisa account mein aata hai toh KPRA dekh leta hai,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0224,Mere grahak cash hi dete hain,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0225,Jab safe harbour ka pata chala to main ne register kar liya,POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0226,Paisa account mein aata hai toh KPRA dekh leta hai,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0227,Darr hai ke FBR aa jaye ga,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0228,Darr hai ke FBR aa jaye ga,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0229,Jab safe harbour ka pata chala to main ne register kar liya,POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0230,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0231,Hamari dukan chhoti hai digital ki zaroorat nahi,SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0232,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0233,Jab safe harbour ka pata chala to main ne register kar liya,POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0234,Fees zyada hain wallets ki,COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0235,Sab log cash mein karte hain toh main kyun badulon?,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0236,Paisa account mein aata hai toh KPRA dekh leta hai,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0237,Registration ka tareeqa bohat mushkil lagta hai,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0238,Mere grahak cash hi dete hain,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0239,Sab log cash mein karte hain toh main kyun badulon?,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0240,Darr hai ke FBR aa jaye ga,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0241,Fees zyada hain wallets ki,COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0242,Sab log cash mein karte hain toh main kyun badulon?,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0243,Hamari dukan chhoti hai digital ki zaroorat nahi,SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0244,Mere grahak cash hi dete hain,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0245,Hamari dukan chhoti hai digital ki zaroorat nahi,SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0246,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0247,Internet sahi nahi hota yahan,INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0248,Mere grahak cash hi dete hain,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0249,Sab log cash mein karte hain toh main kyun badulon?,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0250,Sab log cash mein karte hain toh main kyun badulon?,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0251,Fees zyada hain wallets ki,COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0252,Paisa account mein aata hai toh KPRA dekh leta hai,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0253,Jab safe harbour ka pata chala to main ne register kar liya,POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0254,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0255,Hamari dukan chhoti hai digital ki zaroorat nahi,SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0256,Jab safe harbour ka pata chala to main ne register kar liya,POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0257,Sab log cash mein karte hain toh main kyun badulon?,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0258,Jab safe harbour ka pata chala to main ne register kar liya,POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0259,Darr hai ke FBR aa jaye ga,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0260,Darr hai ke FBR aa jaye ga,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0261,Fees zyada hain wallets ki,COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0262,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0263,Paisa account mein aata hai toh KPRA dekh leta hai,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0264,Jab safe harbour ka pata chala to main ne register kar liya,POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0265,Mere grahak cash hi dete hain,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0266,Jab safe harbour ka pata chala to main ne register kar liya,POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0267,Paisa account mein aata hai toh KPRA dekh leta hai,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0268,Internet sahi nahi hota yahan,INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0269,Fees zyada hain wallets ki,COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0270,Mere grahak cash hi dete hain,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0271,Registration ka tareeqa bohat mushkil lagta hai,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0272,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0273,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0274,Sab log cash mein karte hain toh main kyun badulon?,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0275,Sab log cash mein karte hain toh main kyun badulon?,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0276,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0277,Jab safe harbour ka pata chala to main ne register kar liya,POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0278,Jab safe harbour ka pata chala to main ne register kar liya,POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0279,Mere grahak cash hi dete hain,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0280,Paisa account mein aata hai toh KPRA dekh leta hai,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0281,Jab safe harbour ka pata chala to main ne register kar liya,POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0282,Fees zyada hain wallets ki,COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0283,Darr hai ke FBR aa jaye ga,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0284,Sab log cash mein karte hain toh main kyun badulon?,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0285,Hamari dukan chhoti hai digital ki zaroorat nahi,SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0286,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0287,Darr hai ke FBR aa jaye ga,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0288,Hamari dukan chhoti hai digital ki zaroorat nahi,SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0289,Fees zyada hain wallets ki,COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0290,Registration ka tareeqa bohat mushkil lagta hai,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0291,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0292,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0293,Paisa account mein aata hai toh KPRA dekh leta hai,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0294,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0295,Internet sahi nahi hota yahan,INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0296,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0297,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0298,Jab safe harbour ka pata chala to main ne register kar liya,POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0299,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0300,Paisa account mein aata hai toh KPRA dekh leta hai,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
